time_step,pimple_iter,iter_time_s,reaction_time_s,other_time_s,reaction_percent,before_time,after_time,end_time
1.19999e-06,1,4.66,4.62,0.040000000000000036,99.14163090128754,0.07,4.69,4.73
2.63997e-06,1,2.3899999999999997,2.3499999999999996,0.040000000000000036,98.32635983263597,4.74,7.09,7.13
4.36794e-06,1,2.46,2.410000000000001,0.049999999999998934,97.96747967479679,7.14,9.55,9.6
6.44151e-06,1,2.5,2.4399999999999995,0.0600000000000005,97.59999999999998,9.6,12.04,12.1
8.92974e-06,1,2.4800000000000004,2.42,0.0600000000000005,97.5806451612903,12.11,14.53,14.59
1.19155e-05,1,2.379999999999999,2.3099999999999987,0.07000000000000028,97.05882352941175,14.59,16.9,16.97
1.54984e-05,1,2.289999999999999,2.2399999999999984,0.05000000000000071,97.81659388646285,16.98,19.22,19.27
1.97978e-05,1,2.1799999999999997,2.1400000000000006,0.03999999999999915,98.16513761467894,19.27,21.41,21.45
2.49567e-05,1,2.1799999999999997,2.1400000000000006,0.03999999999999915,98.16513761467894,21.46,23.6,23.64
3.11471e-05,1,2.210000000000001,2.169999999999998,0.0400000000000027,98.19004524886866,23.64,25.81,25.85
3.85752e-05,1,2.289999999999999,2.2399999999999984,0.05000000000000071,97.81659388646285,25.85,28.09,28.14
4.7489e-05,1,2.270000000000003,2.210000000000001,0.060000000000002274,97.3568281938325,28.15,30.36,30.42
5.81854e-05,1,2.1700000000000017,2.1199999999999974,0.05000000000000426,97.69585253456202,30.43,32.55,32.6
7.10206e-05,1,2.0799999999999983,2.039999999999999,0.03999999999999915,98.07692307692312,32.61,34.65,34.69
8.64213e-05,1,2.0899999999999963,2.049999999999997,0.03999999999999915,98.0861244019139,34.7,36.75,36.79
0.000104901,1,2.1000000000000014,2.0600000000000023,0.03999999999999915,98.09523809523813,36.8,38.86,38.9
0.000127077,1,2.1300000000000026,2.0800000000000054,0.04999999999999716,97.65258215962454,38.91,40.99,41.04
0.00015369,1,2.1400000000000006,2.1000000000000014,0.03999999999999915,98.13084112149537,41.04,43.14,43.18
0.000185622,1,2.1300000000000026,2.0900000000000034,0.03999999999999915,98.12206572769956,43.18,45.27,45.31
0.000223941,1,2.219999999999999,2.1599999999999966,0.060000000000002274,97.29729729729719,45.32,47.48,47.54
0.000269902,1,2.3700000000000045,2.3100000000000023,0.060000000000002274,97.46835443037966,47.55,49.86,49.92
0.000325035,1,2.3800000000000026,2.3299999999999983,0.05000000000000426,97.89915966386536,49.93,52.26,52.31
0.00039118,1,2.229999999999997,2.1799999999999997,0.04999999999999716,97.75784753363241,52.32,54.5,54.55
0.000470554,1,2.309999999999995,2.25,0.05999999999999517,97.4025974025976,54.56,56.81,56.87
0.000565803,1,2.4299999999999997,2.3799999999999955,0.05000000000000426,97.94238683127554,56.88,59.26,59.31
0.00067997,1,2.539999999999999,2.489999999999995,0.05000000000000426,98.03149606299196,59.31,61.8,61.85
0.00081697,1,2.6299999999999955,2.5700000000000074,0.05999999999998806,97.71863117870767,61.86,64.43,64.49
0.000981462,1,2.5400000000000063,2.480000000000004,0.060000000000002274,97.63779527559046,64.49,66.97,67.03
0.00117832,1,2.739999999999995,2.6700000000000017,0.06999999999999318,97.4452554744528,67.03,69.7,69.77
0.00141081,1,2.950000000000003,2.8900000000000006,0.060000000000002274,97.96610169491518,69.77,72.66,72.72
0.00168226,1,3.0700000000000074,3.0,0.07000000000000739,97.71986970684016,72.72,75.72,75.79
0.00199601,1,2.8900000000000006,2.8200000000000074,0.06999999999999318,97.57785467128052,75.8,78.62,78.69
0.00235159,1,2.990000000000009,2.930000000000007,0.060000000000002274,97.99331103678924,78.69,81.62,81.68
0.00274538,1,3.0,2.930000000000007,0.06999999999999318,97.66666666666688,81.69,84.62,84.69
0.00316356,1,3.230000000000004,3.1599999999999966,0.07000000000000739,97.83281733746108,84.69,87.85,87.92
0.00356048,1,3.809999999999988,3.7299999999999898,0.0799999999999983,97.90026246719164,87.93,91.66,91.74
0.00398266,1,2.8599999999999994,2.7900000000000063,0.06999999999999318,97.55244755244779,91.75,94.54,94.61
0.00438632,1,2.680000000000007,2.5999999999999943,0.0800000000000125,97.01492537313386,94.61,97.21,97.29
0.00480479,1,2.5999999999999943,2.529999999999987,0.07000000000000739,97.30769230769202,97.29,99.82,99.89
0.00520832,1,2.549999999999997,2.480000000000004,0.06999999999999318,97.25490196078458,99.89,102.37,102.44
0.00563901,1,2.5,2.430000000000007,0.06999999999999318,97.20000000000027,102.44,104.87,104.94
0.0060536,1,2.509999999999991,2.4299999999999926,0.0799999999999983,96.81274900398412,104.95,107.38,107.46
0.00648027,1,2.4200000000000017,2.3599999999999994,0.060000000000002274,97.5206611570247,107.46,109.82,109.88
0.00690279,1,2.480000000000004,2.4099999999999966,0.07000000000000739,97.1774193548384,109.89,112.3,112.37
0.00733811,1,2.4200000000000017,2.3499999999999943,0.07000000000000739,97.10743801652862,112.37,114.72,114.79
0.00776904,1,2.3700000000000045,2.299999999999997,0.07000000000000739,97.0464135021094,114.8,117.1,117.17
0.00820895,1,2.4599999999999937,2.3900000000000006,0.06999999999999318,97.15447154471572,117.17,119.56,119.63
0.00864885,1,2.4200000000000017,2.3499999999999943,0.07000000000000739,97.10743801652862,119.64,121.99,122.06
0.00909349,1,2.4200000000000017,2.3500000000000085,0.06999999999999318,97.10743801652922,122.07,124.42,124.49
0.00953812,1,2.5,2.430000000000007,0.06999999999999318,97.20000000000027,124.5,126.93,127.0
0.0099877,1,2.5800000000000125,2.5200000000000102,0.060000000000002274,97.67441860465108,127.0,129.52,129.58
0.0104424,1,3.009999999999991,2.9399999999999977,0.06999999999999318,97.67441860465138,129.59,132.53,132.6
0.0108971,1,3.1499999999999773,3.079999999999984,0.06999999999999318,97.77777777777797,132.61,135.69,135.76
0.0113571,1,3.4099999999999966,3.3400000000000034,0.06999999999999318,97.94721407624654,135.77,139.11,139.18
0.0118171,1,3.6399999999999864,3.579999999999984,0.060000000000002274,98.35164835164828,139.18,142.76,142.82
0.0122828,1,3.839999999999975,3.780000000000001,0.05999999999997385,98.43750000000067,142.83,146.61,146.67
0.0127484,1,4.039999999999992,3.969999999999999,0.06999999999999318,98.26732673267344,146.68,150.65,150.72
0.01322,1,4.140000000000015,4.069999999999993,0.0700000000000216,98.30917874396083,150.72,154.79,154.86
0.0136915,1,4.359999999999985,4.299999999999983,0.060000000000002274,98.62385321100912,154.87,159.17,159.23
0.0141693,1,4.769999999999982,4.679999999999978,0.09000000000000341,98.11320754716974,159.24,163.92,164.01
0.014647,1,5.0,4.929999999999978,0.0700000000000216,98.59999999999957,164.02,168.95,169.02
0.0151313,1,5.0,4.929999999999978,0.0700000000000216,98.59999999999957,169.02,173.95,174.02
0.0156156,1,5.099999999999994,5.039999999999992,0.060000000000002274,98.82352941176465,174.02,179.06,179.12
0.0160999,1,5.140000000000015,5.069999999999993,0.0700000000000216,98.63813229571943,179.13,184.2,184.27
